Bild,Gruenanteil Skript 1,Gruenanteil Skript 2,Gruenanteil Skript 3,Gruenanteil Mittelwert Skript 1 bis 3,Gruenanteil STABW Skript 1 bis 3,Gruenanteil Schnittmenge Skript 1 u. Skript 2,,Braunanteil Skript 1,Braunanteil Skript 3,Braunanteil Mittelwert Skript 1 und 3,Braunanteil STABW Skript 1 und 3,,Waldanteil Skript 4,Waldanteil Skript 5,Waldanteil Skript 6,Waldanteil Mittelwert Skript 4 bis 6,Waldanteil STABW Skript 4 bis 6,,Anteil gruener Wald Skript 7,Anteil gruene Wiese Skript 7,,Bild,Temperatur gruener Vegetation (Durchschnitt pro Bild),Temperatur nicht gruener Vegetation (Durchschnitt pro Bild),Temperatur brauner Vegetation (Durchschnitt pro Bild),Temperatur nicht brauner Vegetation (Durchschnitt pro Bild),Temperatur Wald (Durchschnitt pro Bild),Temperatur Nicht Wald (Durchschnitt pro Bild),Durchschnittstemperatur gesamtbild,STD Temperatur gruener Vegetation (STD pro Bild),STD Temperatur nicht gruener Vegetation (STD pro Bild),std Temperatur brauner Vegetation (std pro Bild),std nicht brauner Vegetation (std pro Bild),std temp Wald (std pro Bild),std Temperatur Nicht Wald (std pro Bild),STD Gesamtbild,Temperaturbereich Grün (pro Bild),Temperaturbereich Braun (pro Bild),Temperaturbereich Wald (pro Bild),Temperaturbereich All (pro Bild)
YUN00001.jpg,0.18561464424951268,0.2083409478557505,0.12736607142857143,0.17377388784461156,0.04176583875943815,0.16782102826510722,,0.1577881335282651,0.16745535714285714,0.16262174533556112,0.006835759373124763,,,,,,,,,,,YUN00001.jpg,22.868120437956208,22.55,22.49183142559834,22.63506526935098,21.783966636301525,31.52,22.6135578125,2.9474852839412944,2.7709098638488032,2.5066796356383865,2.8596621953070795,0.7445729401936074,3.552713678800501e-15,2.809956612170857,20.6 °C bis 31.520000000000003 °C,20.6 °C bis 31.520000000000003 °C,20.405 °C bis 22.745 °C,20.405 °C bis 31.520000000000003 °C
YUN00002.jpg,0.11378228557504873,0.1272691276803119,0.04375,0.09493380441845355,0.0448364818373716,0.08903356481481481,,0.20527534113060428,0.23816964285714284,0.22172249199387356,0.02325978381323178,,,,,,,,,,,YUN00002.jpg,21.975935810810814,22.21693735891648,21.716558203483043,22.340081895389595,21.60610840303551,31.520000000000003,22.198360156250004,2.238534311580458,2.4642723319213196,1.8944722767037192,2.5718221670502,0.7101464012426424,0.0,2.4484563110266495,20.6 °C bis 31.520000000000003 °C,19.625 °C bis 31.520000000000003 °C,19.625 °C bis 22.745 °C,19.625 °C bis 31.520000000000003 °C
YUN00003.jpg,0.12707267300194933,0.1383299829434698,0.056741071428571425,0.10738124245799685,0.04421540396962304,0.1052113791423002,,0.24435611598440546,0.28379464285714284,0.26407537942077414,0.027887249791720487,,,,,,,,,,,YUN00003.jpg,22.63065738963532,23.062985802757655,22.313438982729174,23.28180640298615,21.91385509207507,31.520000000000014,23.016060156250003,2.7826122614876274,3.1560694098611872,2.334017959239916,3.3321983523447334,0.6421521534128157,1.0658141036401503e-14,3.1205978601824014,20.6 °C bis 31.520000000000003 °C,19.82 °C bis 31.520000000000003 °C,19.82 °C bis 22.745 °C,19.82 °C bis 31.520000000000003 °C
YUN00004.jpg,0.12380147417153996,0.13756700779727096,0.055535714285714285,0.10563473208484174,0.04392955915244597,0.1038864522417154,,0.24081384015594542,0.26089285714285715,0.2508533486494013,0.01419800907100516,,,,,,,,,,,YUN00004.jpg,21.23547469771608,21.872148877232277,21.16547334244703,22.075458121066827,21.223197539717564,31.520000000000003,21.798102343750006,1.6502108995236313,2.5325053027587088,1.2803339994618435,2.7743288485511837,0.680230240537558,0.0,2.4548002011990726,19.82 °C bis 31.520000000000003 °C,19.625 °C bis 31.520000000000003 °C,19.625 °C bis 22.745 °C,19.625 °C bis 31.520000000000003 °C
YUN00005.jpg,0.22456444931773878,0.23773300438596492,0.08607142857142858,0.1827896274250441,0.08401880862498505,0.1955196150097466,,0.24260477582846005,0.25785714285714284,0.25023095934280143,0.010785052155127718,,,,,,,,,,,YUN00005.jpg,22.284531548757172,23.61941920329494,22.381189686619138,23.81538993089832,21.603084742542276,31.52,23.364886718749997,2.782158843709751,3.9978422142119183,2.708326193889588,4.172116807858797,0.6222513787066011,3.552713678800501e-15,3.8322452355976795,19.625 °C bis 31.520000000000003 °C,19.82 °C bis 31.520000000000003 °C,19.625 °C bis 22.745 °C,19.625 °C bis 31.520000000000003 °C
YUN00006.jpg,0.21292184454191032,0.23804976851851853,0.053660714285714284,0.1682107757820477,0.09999570281994061,0.1827333089668616,,0.23101090399610136,0.24044642857142856,0.23572866628376496,0.006671923411266184,,,,,,,,,,,YUN00006.jpg,21.7555420235546,22.465664769787896,21.828030038421236,22.53973912720795,21.483249644583452,31.520000000000003,22.327486718750002,2.1226975924275777,2.9762862097006453,1.8985114432393129,3.1377952881443276,0.6000175774157479,0.0,2.8443625974479962,19.625 °C bis 31.520000000000003 °C,19.82 °C bis 31.520000000000003 °C,19.625 °C bis 22.745 °C,19.625 °C bis 31.520000000000003 °C
YUN00007.jpg,0.23943104288499026,0.27098714668615986,0.06584821428571429,0.19208880128562147,0.1104602248609806,0.21351577729044835,,0.21445540935672514,0.2002232142857143,0.20733931182121973,0.010063681645881522,,,,,,,,,,,YUN00007.jpg,20.074924821946713,20.71823512233111,20.633676167260454,20.574884978726473,20.270913330117384,31.59649171270719,20.591214843750002,2.2290888856753037,2.123368914414861,1.9428713618693236,2.237541716315517,1.081906475258733,0.3092232939340609,2.1598909397955524,16.505 °C bis 33.47 °C,16.7 °C bis 32.69 °C,16.505 °C bis 22.745 °C,16.505 °C bis 33.47 °C
YUN00008.jpg,0.12933875487329435,0.15682261208576997,0.04013392857142857,0.1087650985101643,0.06100425163206786,0.10960495857699805,,0.1895772417153996,0.19223214285714285,0.19090469228627122,0.0018772986007065547,,,,,,,,,,,YUN00008.jpg,21.258653480410803,21.80756200591395,21.269087669280115,21.862485491294777,21.2717647379615,31.52,21.732401562499998,1.074579430379625,2.3642552431343464,1.4313755433095827,2.403020682616001,0.7304053123638713,3.552713678800501e-15,2.240098398298624,19.625 °C bis 31.520000000000003 °C,19.82 °C bis 31.520000000000003 °C,19.625 °C bis 22.745 °C,19.625 °C bis 31.520000000000003 °C
YUN00009.jpg,0.1164458455165692,0.14834764863547759,0.02111607142857143,0.09530318852687274,0.06619839513218731,0.09584703947368421,,0.19772630360623783,0.1825,0.1901131518031189,0.010766622532375956,,,,,,,,,,,YUN00009.jpg,21.989899022801303,21.3340897254458,21.09802127188123,21.475169878123513,21.13279109497624,31.52,21.386520312500004,2.8314625954695254,1.5625766795841582,0.9298114907692171,1.8753396097634103,0.5971467081014987,3.552713678800501e-15,1.7085179984857939,19.82 °C bis 31.520000000000003 °C,19.625 °C bis 31.520000000000003 °C,19.625 °C bis 22.745 °C,19.625 °C bis 31.520000000000003 °C
YUN00010.jpg,0.10864552875243665,0.13241654483430798,0.030625,0.09056235786224821,0.05325063804332819,0.08607303849902534,,0.18641873781676413,0.19129464285714284,0.1888566903369535,0.0034477855184734557,,,,,,,,,,,YUN00010.jpg,21.424481081081083,21.292469164265135,20.96446714250554,21.396643984937572,21.002820141570144,31.520000000000007,21.305189062500002,1.0716107607779268,1.936403839900583,1.0271355440657384,2.0291428637092226,0.6512151006315687,3.552713678800501e-15,1.8709703728628018,19.82 °C bis 31.520000000000003 °C,19.625 °C bis 31.520000000000003 °C,19.625 °C bis 22.745 °C,19.625 °C bis 31.520000000000003 °C
