Bild,Gruenanteil Skript 1,Gruenanteil Skript 2,Gruenanteil Skript 3,Gruenanteil Mittelwert Skript 1 bis 3,Gruenanteil STABW Skript 1 bis 3,Gruenanteil Schnittmenge Skript 1 u. Skript 2,,Braunanteil Skript 1,Braunanteil Skript 3,Braunanteil Mittelwert Skript 1 und 3,Braunanteil STABW Skript 1 und 3,,Waldanteil Skript 4,Waldanteil Skript 5,Waldanteil Skript 6,Waldanteil Mittelwert Skript 4 bis 6,Waldanteil STABW Skript 4 bis 6,,Anteil gruener Wald Skript 7,Anteil gruene Wiese Skript 7
bild1.jpg,99.73%,100.00%,0.00%,66.58%,57.66%,99.73%,,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
bild11.jpg,54.01%,50.57%,31.92%,45.50%,11.89%,45.26%,,11.68%,16.93%,14.31%,3.71%,,56.83%,56.36%,56.01%,56.40%,0.41%,,40.53%,16.25%
bild12.jpg,70.47%,67.80%,65.60%,67.96%,2.44%,64.90%,,11.23%,22.95%,17.09%,8.28%,,82.33%,81.01%,78.79%,80.71%,1.79%,,61.83%,5.30%
bild13.jpg,17.10%,16.11%,0.00%,11.07%,9.60%,16.11%,,48.80%,0.00%,24.40%,34.50%,,41.88%,40.56%,40.00%,40.81%,0.96%,,0.44%,23.66%
bild14.jpg,56.53%,46.46%,8.63%,37.21%,25.26%,41.84%,,12.87%,23.86%,18.37%,7.77%,,16.22%,20.54%,20.23%,19.00%,2.41%,,8.54%,54.43%
bild2.jpg,89.64%,95.74%,0.00%,61.79%,53.60%,89.64%,,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
bild3.jpg,89.81%,90.50%,0.00%,60.10%,52.05%,89.81%,,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
bild4.jpg,69.40%,68.55%,70.14%,69.36%,0.80%,66.08%,,8.90%,18.87%,13.88%,7.05%,,,,,,,,,
bild5.jpg,25.04%,19.61%,26.87%,23.84%,3.77%,16.95%,,14.40%,10.67%,12.53%,2.64%,,,,,,,,,
bild6.jpg,50.16%,50.13%,0.76%,33.69%,28.51%,50.13%,,43.38%,42.34%,42.86%,0.73%,,,,,,,,,
bild7.jpg,70.24%,71.18%,67.77%,69.73%,1.76%,69.06%,,3.71%,11.33%,7.52%,5.39%,,,,,,,,,
Mittelwert ueber alle Bilder,,,,49.71%,22.48%,,,,,13.72%,6.37%,,,,,17.90%,0.51%,,10.12%,9.06%
