Bild,Gruenanteil Skript 1,Gruenanteil Skript 2,Gruenanteil Skript 3,Gruenanteil Mittelwert Skript 1 bis 3,Gruenanteil STABW Skript 1 bis 3,Gruenanteil Schnittmenge Skript 1 u. Skript 2,,Braunanteil Skript 1,Braunanteil Skript 3,Braunanteil Mittelwert Skript 1 und 3,Braunanteil STABW Skript 1 und 3,,Waldanteil Skript 4,Waldanteil Skript 5,Waldanteil Skript 6,Waldanteil Mittelwert Skript 4 bis 6,Waldanteil STABW Skript 4 bis 6,,Anteil gruener Wald Skript 7,Anteil gruene Wiese Skript 7
YUN00001.jpg,69.62%,68.83%,70.79%,69.75%,0.99%,66.36%,,8.21%,20.26%,14.23%,8.52%,,66.18%,71.64%,68.84%,68.89%,2.73%,,60.38%,7.64%
YUN00002.jpg,79.60%,77.80%,85.69%,81.03%,4.14%,75.73%,,4.42%,13.36%,8.89%,6.32%,,84.17%,83.01%,79.88%,82.35%,2.22%,,70.04%,6.24%
YUN00003.jpg,73.94%,73.44%,75.45%,74.28%,1.04%,71.01%,,6.80%,18.02%,12.41%,7.94%,,79.14%,77.67%,75.92%,77.58%,1.61%,,69.56%,5.84%
YUN00004.jpg,71.17%,70.45%,71.85%,71.16%,0.70%,67.92%,,8.05%,18.18%,13.12%,7.16%,,68.90%,67.30%,65.31%,67.17%,1.80%,,60.55%,8.01%
YUN00005.jpg,69.40%,68.55%,70.14%,69.36%,0.80%,66.08%,,8.90%,18.87%,13.88%,7.05%,,56.09%,61.61%,58.65%,58.79%,2.76%,,55.18%,10.71%
YUN00006.jpg,81.05%,79.03%,85.07%,81.72%,3.07%,77.12%,,3.94%,11.53%,7.73%,5.37%,,79.92%,80.59%,78.99%,79.83%,0.80%,,73.93%,7.26%
YUN00007.jpg,69.13%,66.46%,71.32%,68.97%,2.43%,63.71%,,7.29%,13.44%,10.36%,4.35%,,62.36%,67.71%,65.09%,65.05%,2.67%,,58.87%,8.91%
YUN00008.jpg,69.29%,65.60%,75.96%,70.28%,5.25%,62.73%,,5.63%,9.97%,7.80%,3.07%,,73.99%,75.87%,74.51%,74.79%,0.97%,,61.35%,7.21%
YUN00009.jpg,58.12%,55.28%,65.65%,59.68%,5.36%,51.60%,,6.50%,11.61%,9.05%,3.61%,,57.93%,58.41%,57.54%,57.96%,0.44%,,39.98%,12.49%
YUN00010.jpg,50.69%,48.15%,61.85%,53.56%,7.29%,44.66%,,7.41%,13.79%,10.60%,4.51%,,49.84%,49.02%,48.16%,49.01%,0.84%,,28.82%,16.11%
YUN00011.jpg,51.03%,48.66%,60.25%,53.31%,6.12%,44.68%,,6.87%,13.41%,10.14%,4.63%,,51.45%,50.81%,50.26%,50.84%,0.60%,,28.86%,17.90%
Mittelwert ueber alle Bilder,,,,68.46%,3.38%,,,,,10.75%,5.68%,,,,,66.57%,1.59%,,55.23%,9.85%
